Vendedor;Rede;Cliente;Código;Loja;Cidade;UF
Ricardo Santos;Hiperideal;Hiperideal Armacao (002613 - 02);002613;02;Salvador;BA
Ricardo Santos;Hiperideal;Hiperideal Buraquinho (002613 - 08);002613;08;Lauro De Freitas;BA
Ricardo Santos;Hiperideal;Hiperideal Caminho Das Arvores (002613 - 25);002613;25;Salvador;BA
Ricardo Santos;Hiperideal;Hiperideal Feira De Santana (002613 - 31);002613;31;Feira De Santana;BA
Ricardo Santos;Hiperideal;Hiperideal Horto Jardins Acm (002613 - 30);002613;30;Salvador;BA
Ricardo Santos;Hiperideal;Hiperideal Horto Vasco Da Gama (002613 - 29);002613;29;Salvador;BA
Ricardo Santos;Hiperideal;Hiperideal Orla (002613 - 28);002613;28;Salvador;BA
Ricardo Santos;Hiperideal;Hiperideal Parque Shopping (002613 - 21);002613;21;Lauro De Freitas;BA
Ricardo Santos;Hiperideal;Hiperideal Piata Orlando Gomes (002613 - 19);002613;19;Salvador;BA
Ricardo Santos;Hiperideal;Hiperideal Piata Otavio Mangabeira (002613 - 07);002613;07;Salvador;BA
Ricardo Santos;Hiperideal;Hiperideal Praia Do Forte (002613 - 03);002613;03;Mata De Sao Joao;BA
Vinicius;Outros;Ki Distribuidora E Atacado (004586 - 01);004586;01;Nossa Senhora Da Gloria;SE
Nixon;Outros;Le Delis (004561 - 01);004561;01;Salvador;BA
Vinicius;Outros;Mabeni Aracaju (004607 - 01);004607;01;Aracaju;SE
Vinicius;Redemix;Masani Com (000209 - 01);000209;01;Salvador;BA
Ricardo Santos;Mateus;Mateus Aracaju Santa Monica (002459 - D5);002459;D5;Aracaju;SE
Ricardo Santos;Mateus;Mateus Cd - Feira De Santana/Ba (001456 - 12);001456;12;Sao Goncalo Dos Campos;BA
Antonio;Mateus;Mateus Conceicao Do Coite (002459 - 53);002459;53;Conceicao Do Coite;BA
Ricardo Santos;Mateus;Mateus Eunapolis (002459 - 97);002459;97;Eunapolis;BA
Ricardo Santos;Mateus;Mateus Itabuna (002459 - 98);002459;98;Itabuna;BA
Antonio;Mateus;Mateus Jacobina (002459 - 34);002459;34;Jacobina;BA
Ricardo Santos;Mateus;Mateus Jose Conrado De Araujo (002459 - 42);002459;42;Aracaju;SE
Antonio;Mateus;Mateus Juazeiro (002459 - 41);002459;41;Juazeiro;BA
Antonio;Mateus;Mateus Petrolina (002459 - 33);002459;33;Petrolina;PE
Ricardo Santos;Mateus;Mateus Porto Seguro (002459 - 51);002459;51;Porto Seguro;BA
Ricardo Santos;Mateus;Mateus Teixeira De Freitas (002459 - 52);002459;52;Teixeira De Freitas;BA
Ricardo Santos;Mateus;Mateus Vitoria Da Conquista (002459 - 49);002459;49;Vitoria Da Conquista;BA
Nixon;Maxxi;Maxxi Bonoco (000048 - 15);000048;15;Salvador;BA
Nixon;Maxxi;Maxxi Lauro (000048 - 07);000048;07;Lauro De Freitas;BA
Nixon;Maxxi;Maxxi Pau Da Lima (000048 - 06);000048;06;Salvador;BA
Vinicius;Outros;Mel Distribuidora (004575 - 01);004575;01;Aracaju;SE
Antonio;Super Economico;Mercadinho Economico  Centro (005079 - 02);005079;02;Juazeiro;BA
Antonio;Super Economico;Mercadinho Economico  Quati (005080 - 01);005080;01;Petrolina;PE
Antonio;Super Economico;Mercadinho Economico (005079 - 01);005079;01;Petrolina;PE
Antonio;Super Economico;Mercadinho Economico Jardim Maravilha (005081 - 01);005081;01;Petrolina;PE
Antonio;Outros;Mix Distribuidora (004680 - 01);004680;01;Senhor Do Bonfim;BA
Ricardo Santos;Mateus;Mix Mateus (002459 - D6);002459;D6;Feira De Santana;BA
Ricardo Santos;Mateus;Mix Mateus Boa Vista (002459 - D7);002459;D7;Ilheus;BA
Ricardo Santos;Mateus;Mix Mateus Da Gloria (002459 - 96);002459;96;Nossa Senhora Da Gloria;SE
Ricardo Santos;Mateus;Mix Mateus Salavdor Sao Cristovao (002459 - E2);002459;E2;Salvador;BA
Antonio;Comercial De Carnes;Multi Frios Premium (004469 - 01);004469;01;Juazeiro;BA
Antonio;Comercial De Carnes;Multi Frios Premium (004469 - 02);004469;02;Petrolina;PE
Ricardo Santos;Outros;Paris Delicatessen (002399 - 01);002399;01;Salvador;BA
Vinicius;Perini;Perini Graca (000069 - 04);000069;04;Salvador;BA
Vinicius;Perini;Perini Pituba (000069 - 05);000069;05;Salvador;BA
Antonio;Outros;Pga Comercio Atacadista De Frutas E Verd (002860 - 01);002860;01;Juazeiro;BA
Antonio;Outros;Pga Villa Mix Ii (002860 - 02);002860;02;Petrolina;PE
Vinicius;Redemix;Ponto Verde Iapi (001763 - 02);001763;02;Salvador;BA
Vinicius;Redemix;Ponto Verde Sete Portas (001763 - 01);001763;01;Salvador;BA
Vinicius;Redemix;Ponto Verde Vila Laura (001763 - 03);001763;03;Salvador;BA
Nixon;Outros;Rede Compre Bem Supermercados Ltda (004379 - 01);004379;01;Alagoinhas;BA
Vinicius;Redemix;Redemix Chame-Chame (000186 - 12);000186;12;Salvador;BA
Vinicius;Redemix;Redemix Rio Vermelho (000186 - 13);000186;13;Salvador;BA
Vinicius;Redemix;Redemix Salvador Shopping (000186 - 14);000186;14;Salvador;BA
Vinicius;Redemix;Rmix  Stella Maris (000186 - 11);000186;11;Salvador;BA
Vinicius;Redemix;Rmix Alphaville 1 (000186 - 04);000186;04;Salvador;BA
Vinicius;Redemix;Rmix Buraquinho (000186 - 07);000186;07;Lauro De Freitas;BA
Vinicius;Redemix;Rmix Horto (000186 - 08);000186;08;Salvador;BA
Vinicius;Redemix;Rmix Imbui (000186 - 02);000186;02;Salvador;BA
Vinicius;Redemix;Rmix Itapua (000186 - 05);000186;05;Salvador;BA
Vinicius;Redemix;Rmix Ondina (000186 - 09);000186;09;Salvador;BA
Vinicius;Redemix;Rmix Pituba - Amazonas (000186 - 06);000186;06;Salvador;BA
Vinicius;Redemix;Rmix Pituba- Pitubinha (000186 - 01);000186;01;Salvador;BA
Vinicius;Redemix;Rmix Simoes Filho (000186 - 03);000186;03;Simoes Filho;BA
Vinicius;Redemix;Rmix Vitoria (000186 - 10);000186;10;Salvador;BA
Nixon;Outros;Roselly Ferreira Sales Da Silva Ltda (006041 - 01);006041;01;Salvador;BA
Vinicius;Sams;Sams Aracaju (000047 - 07);000047;07;Aracaju;SE
Vinicius;Sams;Sams Cosme De Farias (000047 - 10);000047;10;Salvador;BA
Vinicius;Sams;Sams Feira De Santana (000047 - 12);000047;12;Feira De Santana;BA
Vinicius;Sams;Sams Lauro De Freitas (000047 - 09);000047;09;Lauro De Freitas;BA
Vinicius;Sams;Sams Pituba (000047 - 05);000047;05;Salvador;BA
Nixon;Dist Sao Roque;Sao Roque Artemia Pires (001600 - 08);001600;08;Feira De Santana;BA
Ricardo Santos;Hiperideal;Serrana  Barra (002613 - 11);002613;11;Salvador;BA
Ricardo Santos;Hiperideal;Serrana - Graca (002613 - 10);002613;10;Salvador;BA
Ricardo Santos;Hiperideal;Serrana  Itaigara (002613 - 16);002613;16;Salvador;BA
Ricardo Santos;Hiperideal;Serrana  Jardim Apipema (002613 - 17);002613;17;Salvador;BA
Ricardo Santos;Hiperideal;Serrana - Patamares (002613 - 13);002613;13;Salvador;BA
Ricardo Santos;Hiperideal;Serrana  Patamares (002613 - 23);002613;23;Salvador;BA
Ricardo Santos;Hiperideal;Serrana - Praia Do Forte (002613 - 14);002613;14;Mata De Sao Joao;BA
Ricardo Santos;Hiperideal;Serrana - Tororo (002613 - 09);002613;09;Salvador;BA
Ricardo Santos;Hiperideal;Serrana Canela (002613 - 26);002613;26;Salvador;BA
Ricardo Santos;Hiperideal;Serrana Guarajuba (Monte Gordo) (002613 - 22);002613;22;Camacari;BA
Ricardo Santos;Hiperideal;Serrana Pituba (002613 - 12);002613;12;Salvador;BA
Ricardo Santos;Hiperideal;Serrana Pituba (002613 - 18);002613;18;Salvador;BA
Ricardo Santos;Hiperideal;Serrana Stella Maris (002613 - 05);002613;05;Salvador;BA
